,price,location,num_beds,num_bath,url
1603,2500.0,tribeca,2.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-free-monthcondo-finishesno/7309747389.html
1604,1995.0,financialdistrict,2.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-life-just-got-better-im/7309746902.html
1605,1800.0,prospectparkleffertsgardens,2.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-newly-renovated-close-to/7309746668.html
1606,1695.0,greenpoint,1.0,1.0,https://newyork.craigslist.org/brk/apa/d/long-island-city-cozy-renovated-rent/7309745236.html
1607,2815.0,midtownwest,2.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-sunny-full-wall-flex-private/7309744275.html
1608,2625.0,brooklyn,2.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-gorgeous-bed-in-prime/7309743367.html
1609,1650.0,astoria,1.0,1.0,https://newyork.craigslist.org/que/apa/d/astoria-1bedroom-elevator-laundry-near/7309742459.html
1610,2975.0,midtownwest,3.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-915-sf-bedroom-bath-luxury/7309741229.html
1611,1995.0,prospectheights,1.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-large-bed-apt-in-prime/7309740901.html
1612,2300.0,"longislandcity,hunterspoint",1.0,1.0,https://newyork.craigslist.org/que/apa/d/long-island-city-lic-1br-peacequiet-no/7309739223.html
1613,2615.0,midtownwest,2.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-sunny-bedroom-available-asap/7309739138.html
1614,2995.0,bedstuy/jctrains,3.0,,https://newyork.craigslist.org/brk/apa/d/brooklyn-bed-stuy-3br-plus-office-15ba/7309734922.html
1615,2595.0,prospectheights/crownheights/2345trains/p.park,1.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-prospect-heights-1br-high-end/7309734558.html
1616,3750.0,midtownwest,3.0,2.0,https://newyork.craigslist.org/mnh/apa/d/new-york-sunny-bedroom-oversized-living/7309734490.html
1617,1600.0,crownheights,1.0,1.0,https://newyork.craigslist.org/brk/apa/d/hewlett-one-large-bedroom/7309733069.html
1618,1600.0,newdorp,1.0,1.0,https://newyork.craigslist.org/stn/apa/d/staten-island-one-bedroom-location/7309732198.html
1619,2100.0,brooklyn,2.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-high-end-br-apartment/7309729046.html
1620,2450.0,vrownheights,3.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-beau-nu-prewar-near-brower/7309728381.html
1621,2400.0,brooklyn,3.0,2.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-broker-fee-modern-br-apt/7309727463.html
1622,7000.0,"harrison,ny",4.0,,https://newyork.craigslist.org/wch/apa/d/harrison-mid-century-modern-home-for/7309726755.html
1623,3175.0,brooklyn,4.0,2.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-broker-fee-gorgeous-br/7309726298.html
1624,1250.0,astoria,0.0,1.0,https://newyork.craigslist.org/que/apa/d/astoria-new-studio-astoria/7309725387.html
1625,2150.0,,2.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-broker-feehigh-end-br-apt/7309725037.html
1626,2200.0,"crownheights,stuyvesantheights",3.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-wow-beatiful-3br-1bath-near/7309724768.html
1627,2300.0,brooklyn,2.0,,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-high-end-br-apartment/7309723892.html
1628,1590.0,"midwood,brooklyncollege",2.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-best-price-real-two-bedrm-good/7309723624.html
1629,1565.0,parkchester,1.0,1.0,https://newyork.craigslist.org/brx/apa/d/bronx-no-fee-renovated-bedroom-express/7309720464.html
1630,1375.0,morrisheights,1.0,1.0,https://newyork.craigslist.org/brx/apa/d/bronx-no-fee-large-bedroom-subway-lines/7309719987.html
1631,3850.0,bedford-stuyvesant,4.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-months-free-bedrooms-massive/7309719283.html
1632,2500.0,brooklyn,3.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-must-see-high-end-3br/7309717547.html
1633,2500.0,bronx,3.0,1.0,https://newyork.craigslist.org/brx/apa/d/bronx-bedroom-available/7309717241.html
1634,2500.0,brooklyn,4.0,2.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-broker-fee-must-see-high/7309716728.html
1635,1850.0,uppereastside,0.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-studio-no-broker-fees-73rd/7309715533.html
1636,1570.0,uppereastside,0.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-one-of-kind-studio-exposed/7309714895.html
1637,2845.0,bushwick/ljtrains,3.0,2.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-bushwick-3br-2ba-1100-sqft/7309714894.html
1638,1850.0,bronx,2.0,1.0,https://newyork.craigslist.org/brx/apa/d/bronx-bedrooms-available/7309714805.html
1639,2200.0,brooklyn,3.0,1.0,https://newyork.craigslist.org/que/apa/d/brooklyn-no-broker-fee-modern-br-apt/7309714041.html
1640,1750.0,bronx,1.0,1.0,https://newyork.craigslist.org/brx/apa/d/bronx-bedroom-available/7309710983.html
1641,2500.0,financialdistrict,2.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-fidi-flex-condo/7309704595.html
1642,4000.0,"newrochelle,ny",6.0,2.0,https://newyork.craigslist.org/wch/apa/d/new-rochelle-bedroom-bath-apartment/7309699644.html
1643,2214.0,crownheights,2.0,,https://newyork.craigslist.org/brk/apa/d/brooklyn-2mths-free-double-king-sz-2br/7309694189.html
1644,1422.0,crownheights,0.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-2mths-free-beautiful-studio/7309693736.html
1645,2100.0,stunningcanarsieandcrownheightsunits,2.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-beautiful-and-bedroom/7309691566.html
1646,1850.0,,2.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-renovated-br-studio-unit-in/7309676315.html
1647,1750.0,norwalk,1.0,1.0,https://newyork.craigslist.org/mnh/apa/d/norwalk-nights-special-private-hotel/7309671903.html
1648,1750.0,norwalk,1.0,1.0,https://newyork.craigslist.org/brk/apa/d/norwalk-nights-special-private-hotel/7309671804.html
1649,1750.0,norwalk,1.0,1.0,https://newyork.craigslist.org/que/apa/d/norwalk-nights-special-private-hotel/7309671605.html
1650,1750.0,norwalk,1.0,1.0,https://newyork.craigslist.org/brx/apa/d/norwalk-nights-special-private-hotel/7309671422.html
1651,1750.0,norwalk,1.0,1.0,https://newyork.craigslist.org/stn/apa/d/norwalk-nights-special-private-hotel/7309671214.html
1652,1750.0,norwalk,1.0,1.0,https://newyork.craigslist.org/jsy/apa/d/norwalk-nights-special-private-hotel/7309671090.html
1653,1750.0,norwalk,1.0,1.0,https://newyork.craigslist.org/lgi/apa/d/norwalk-nights-special-private-hotel/7309670862.html
1654,1750.0,norwalk,1.0,1.0,https://newyork.craigslist.org/wch/apa/d/norwalk-nights-special-private-hotel/7309670745.html
1655,1750.0,norwalk,1.0,1.0,https://newyork.craigslist.org/fct/apa/d/norwalk-nights-special-private-hotel/7309670606.html
1656,1670.0,midtownwest,1.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-rent-stabalized-junior-bed-in/7309670486.html
1657,3000.0,harlem/morningside,2.0,2.0,https://newyork.craigslist.org/mnh/apa/d/new-york-the-entire-floor-large-bedroom/7309665190.html
1658,2350.0,bushwick,3.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-bushwick-promono-fee1-month/7309664086.html
1659,2395.0,murrayhill,1.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-spacious-bed-bath-tudor-city-pl/7309659306.html
1660,2650.0,"stuyvesantheights,brooklyn",2.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-deluxe-gut-renovated-br-d-in/7309656888.html
1661,2500.0,"boerumhill,brooklyn",2.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-2br-modern-renovated-apt-no-fee/7309656814.html
1662,2000.0,,2.0,1.0,https://newyork.craigslist.org/lgi/apa/d/elmont-bedrooms-apt/7309656454.html
1663,2350.0,prospect-leffertsgardens,2.0,2.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-gorgeous-bed-bath-large-roof/7309655208.html
1664,1899.0,,1.0,1.0,https://newyork.craigslist.org/brk/apa/d/new-york-beautiful-prime-williamsburg/7309654333.html
1665,1750.0,uppereastside,1.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-beautiful-studio-1bed-in-the/7309651862.html
1666,2999.0,brooklyn,1.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-top-notch-luxurious-one/7309649859.html
1667,2850.0,longislandcity,1.0,1.0,https://newyork.craigslist.org/que/apa/d/long-island-city-brand-new-center-blvd/7309646391.html
1668,3700.0,longislandcity,2.0,2.0,https://newyork.craigslist.org/que/apa/d/long-island-city-preview-selection-of/7309645864.html
1669,2960.0,longislandcity,1.0,1.0,https://newyork.craigslist.org/que/apa/d/long-island-city-high-floor-corner-bed/7309645502.html
1670,1650.0,bayridge/forthamilton,1.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-beautiful-bed-bay-ridge/7309644440.html
1671,2200.0,parkslope,2.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-beautiful-bed-on-4th-union/7309644304.html
1672,1650.0,brooklyn,2.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-2beds-room-for-rent/7309644012.html
1673,2100.0,crownheights,2.0,1.0,https://newyork.craigslist.org/brk/apa/d/floral-park-beautiful-spacious-bedroom/7309638038.html
1674,2770.0,financialdistrict,1.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-flex-your-terrace/7309634992.html
1675,2744.0,financialdistrict,1.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-d-in-unit-doormangympoolrooftop/7309634256.html
1676,1980.0,financialdistrict,0.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-steal-on-wall-st-location/7309633507.html
1677,1500.0,farrockaway,1.0,1.0,https://newyork.craigslist.org/que/apa/d/far-rockaway-under-price-nice-newly/7309631736.html
1678,3267.0,statenisland,1.0,,https://newyork.craigslist.org/stn/apa/d/staten-island-1br-penthouse-heart-of/7309631724.html
1679,1250.0,collegepoint,1.0,1.0,https://newyork.craigslist.org/que/apa/d/college-point-studio-1bedroomprivate/7309631628.html
1680,2000.0,,2.0,1.0,https://newyork.craigslist.org/wch/apa/d/yonkers-spacious-bedroom-ready-may/7309631581.html
1681,2200.0,woodisde,3.0,2.0,https://newyork.craigslist.org/que/apa/d/woodside-queens-woodside-3br-baths-2200/7309631086.html
1682,2099.0,bushwick,2.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-perfect-for-roommates-bedroom/7309629725.html
1683,1950.0,,3.0,1.0,https://newyork.craigslist.org/wch/apa/d/yonkers-yonkers-bedroom-1950-warburton/7309628981.html
1684,2100.0,uppereastside,1.0,1.0,https://newyork.craigslist.org/mnh/apa/d/new-york-month-free-cozy-and-quiet-bed/7309628125.html
1685,1850.0,bed-stuy,0.0,1.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-private-backyard-large-studio/7309627820.html
1686,1800.0,,2.0,1.0,https://newyork.craigslist.org/wch/apa/d/yonkers-yonkers-bedroom-4th-floor-no/7309626640.html
1687,1800.0,conventav,2.0,1.0,https://newyork.craigslist.org/brx/apa/d/yonkers-beautiful-bedroom-in-yonkers-ny/7309625790.html
